주소,위도,경도
동작구 동작대로33바길,37.4916469061554,126.977824238353
종로구 율곡로17길,37.5763739635335,127.004982605862
금천구 독산로108길,37.4797316054412,126.906890666596
관악구 청림3바길,37.4909165588381,126.959250942753
구로구 구로동로2길,37.4839769631681,126.887603900471
강남구 봉은사로52길,37.5096761233366,127.043067257499
은평구 통일로73길,37.6151616048385,126.922750131315
강남구 역삼로67길,37.5025861091364,127.052844868723
관악구 인헌13길,37.472330943823,126.968504510443
금천구 독산로39길,37.4584083032213,126.903979653485
영등포구 대림로8길,37.4913697598448,126.905998069431
송파구 올림픽로32길,37.5132816858588,127.10985615487
관악구 국회단지15길,37.4894540092858,126.940843789661
관악구 봉천로,37.4864054907977,126.934924651248
강남구 테헤란로81길,37.5090120047979,127.056506364229
관악구 미성3길,37.4735475496715,126.917209829383
