NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,구_추출,상세주소,주소,위도,경도,행정동
104,서울특별시 동대문구 장안동,3**,12m미만,31.62,전세,202411,27,"9,920",0,1984.0,답십리로72길,202503~202703,갱신,-,"12,000",0.0,다가구,동대문구,동대문구 답십리로72길,동대문구 답십리로72길,37.5687569060489,127.072880191704,장안2동
105,서울특별시 은평구 응암동,1**,8m미만,54.67,월세,202411,26,"2,000",60,1991.0,응암로34길,202412~202612,신규,-,,,다가구,은평구,은평구 응암로34길,은평구 응암로34길,37.5979000111581,126.922636851613,응암1동
106,서울특별시 광진구 자양동,7**,8m미만,51.76,월세,202411,26,"5,000",80,1985.0,자양번영로10길,202501~202701,신규,-,,,단독,광진구,광진구 자양번영로10길,광진구 자양번영로10길,37.5361194009016,127.0773147814,자양1동
107,서울특별시 중랑구 망우동,4**,8m미만,18.0,월세,202411,26,200,30,1991.0,용마공원로5가길,202411~202611,신규,-,,,다가구,중랑구,중랑구 용마공원로5가길,중랑구 용마공원로5가길,37.5929014174455,127.102422343737,망우3동
108,서울특별시 종로구 연건동,2**,8m미만,57.0,월세,202411,26,"16,000",65,1992.0,율곡로13가길,202412~202612,신규,-,,,다가구,종로구,종로구 율곡로13가길,종로구 율곡로13가길,37.5764395709793,126.999979283463,이화동
109,서울특별시 마포구 서교동,3**,8m미만,35.0,월세,202411,26,"1,000",60,1991.0,양화로15안길,202411~202611,신규,-,,,다가구,마포구,마포구 양화로15안길,마포구 양화로15안길,37.5540891542423,126.918601998657,서교동
110,서울특별시 마포구 서교동,3**,8m미만,26.0,월세,202411,26,"8,000",32,1997.0,와우산로29가길,202501~202701,신규,-,,,다가구,마포구,마포구 와우산로29가길,마포구 와우산로29가길,37.5538613485003,126.926954374513,서교동
111,서울특별시 광진구 자양동,6**,8m미만,38.46,전세,202411,26,"21,000",0,2016.0,뚝섬로52나길,202502~202702,신규,-,,,다가구,광진구,광진구 뚝섬로52나길,광진구 뚝섬로52나길,37.5304905221296,127.080896274908,자양2동
112,서울특별시 성북구 장위동,7*,8m미만,53.06,월세,202411,26,"3,000",60,1971.0,장월로24길,202412~202612,신규,-,,,단독,성북구,성북구 장월로24길,성북구 장월로24길,37.6156258944476,127.049989513114,장위2동
113,서울특별시 마포구 합정동,3**,8m미만,43.0,전세,202411,26,"15,000",0,1994.0,독막로,202412~202612,신규,-,,,다가구,마포구,마포구 독막로,마포구 독막로,37.5474735237527,126.932212423234,서강동
114,서울특별시 광진구 중곡동,7*,8m미만,35.43,전세,202411,26,"3,500",0,1993.0,긴고랑로46길,202411~202611,갱신,-,"3,000",0.0,다가구,광진구,광진구 긴고랑로46길,광진구 긴고랑로46길,37.5601237054954,127.095431465032,중곡4동
115,서울특별시 성북구 하월곡동,9*,8m미만,27.0,월세,202411,26,100,35,,종암로,202411~202611,신규,-,,,단독,성북구,성북구 종암로,성북구 종암로,37.5998864997602,127.034073654539,종암동
116,서울특별시 마포구 망원동,4**,8m미만,21.0,월세,202411,26,"5,000",30,1993.0,희우정로20길,202412~202612,신규,-,,,다가구,마포구,마포구 희우정로20길,마포구 희우정로20길,37.5558176914289,126.902510413936,망원1동
117,서울특별시 도봉구 도봉동,6**,25m미만,61.2,전세,202411,26,"15,500",0,2002.0,도봉로154길,202412~202612,갱신,-,"12,000",0.0,다가구,도봉구,도봉구 도봉로154길,도봉구 도봉로154길,37.6712349571902,127.04516423504,도봉2동
